order_id,customer_id,order_date,item,quantity,unit_price
1,7082,2017-06-14,Widget B,2,197.03
2,327,2025-01-04,Gadget X,8,120.21
3,6638,2023-01-29,Thingamajig,9,27.54
4,1685,2023-11-02,Gadget Z,8,142.85
5,4312,2024-06-14,Gadget X,9,171.74
6,1889,2021-05-28,Widget A,4,168.74
7,5795,2023-11-06,Thingamajig,2,91.05
8,7860,2021-10-03,Gadget X,7,104.19
9,3303,2018-07-22,Widget A,4,70.80
10,3013,2025-03-23,Gadget Z,2,85.61
11,9257,2020-05-12,Widget B,5,189.05
12,2467,2025-06-26,Gadget Z,4,176.59
13,9642,2024-09-06,Widget B,2,137.36
14,5859,2018-10-19,Gadget X,2,175.49
15,4339,2025-10-08,Gadget X,8,132.27
16,3151,2018-11-21,Gadget Z,10,187.22
17,8213,2023-07-29,Widget C,6,194.78
18,6599,2024-09-02,Gadget Z,10,61.45
19,1824,2025-03-19,Gadget X,10,152.45
20,5215,2025-07-30,Gadget X,7,6.86
21,237,2020-12-04,Gadget Y,6,56.25
22,1401,2024-07-11,Gadget X,6,145.51
23,6584,2024-12-12,Gadget X,5,128.81
24,110,2025-10-30,Widget A,2,130.21
25,199,2024-06-20,Doohickey,4,17.74
26,9682,2021-12-31,Thingamajig,1,30.81
27,554,2022-08-14,Gadget Z,9,109.08
28,9473,2025-09-28,Widget A,8,158.27
29,6085,2025-02-09,Gadget X,9,178.85
30,3723,2024-09-12,Thingamajig,5,149.24
31,2089,2017-07-31,Widget B,6,54.96
32,977,2025-08-29,Doohickey,10,48.50
33,6481,2024-10-13,Doohickey,7,54.38
34,1135,2025-06-09,Widget A,6,151.63
35,6471,2023-03-27,Widget B,9,61.77
36,4682,2022-07-07,Doohickey,4,118.24
37,3945,2018-11-27,Doohickey,6,80.64
38,5775,2022-07-10,Widget B,1,67.55
39,4850,2025-08-31,Gadget X,8,176.50
40,8364,2025-08-16,Widget B,10,45.75
41,4569,2021-10-06,Gadget Y,4,190.17
42,1171,2024-08-06,Thingamajig,4,92.85
43,9927,2017-01-31,Widget B,4,108.95
44,6230,2022-08-12,Widget A,10,107.37
45,9479,2024-12-29,Gadget Y,10,165.29
46,6928,2023-11-10,Doohickey,3,115.53
47,7710,2021-08-05,Widget C,9,110.60
48,3586,2025-07-02,Widget B,8,11.77
49,161,2025-09-08,Gadget X,2,124.64
50,1326,2024-02-12,Doohickey,6,42.88
51,6726,2025-06-27,Gadget Z,8,163.68
52,2215,2019-10-29,Widget C,8,81.15
53,7208,2020-03-16,Widget B,4,135.20
54,6305,2023-03-04,Doohickey,10,152.50
55,6917,2025-08-01,Widget C,6,31.38
56,720,2025-10-02,Widget C,9,167.11
57,5134,2025-03-23,Thingamajig,2,57.23
58,2934,2024-09-27,Gadget X,5,129.54
59,6723,2025-11-04,Widget A,9,122.61
60,65,2023-12-11,Widget C,3,115.27
61,5741,2025-04-06,Widget B,4,177.18
62,6525,2024-08-19,Gadget Z,9,58.84
63,5695,2022-11-07,Widget C,9,119.38
64,209,2022-03-03,Doohickey,1,131.88
65,8508,2021-05-08,Widget B,3,157.24
66,8387,2023-05-08,Gadget Y,4,178.06
67,3144,2021-10-15,Widget A,4,12.98
68,5252,2020-02-13,Gadget X,9,129.58
69,3424,2021-10-09,Gadget X,1,177.53
70,8035,2021-03-18,Widget C,8,150.17
71,4769,2024-09-14,Widget B,10,47.35
72,1399,2023-06-06,Widget A,5,189.48
73,5750,2019-11-27,Widget B,8,159.87
74,5236,2022-05-01,Widget C,1,19.47
75,1964,2025-10-12,Gadget X,1,184.79
76,2569,2024-08-21,Gadget X,4,31.71
77,9763,2024-11-21,Thingamajig,8,158.65
78,9451,2022-03-28,Gadget Z,4,129.75
79,5331,2024-05-06,Thingamajig,8,36.29
80,5825,2023-07-28,Gadget Y,5,165.12
81,2275,2024-02-05,Gadget X,4,174.77
82,7626,2023-04-10,Thingamajig,4,122.86
83,7903,2025-07-19,Gadget Z,1,67.72
84,2554,2022-08-12,Gadget X,7,188.63
85,2105,2020-09-06,Thingamajig,3,179.24
86,3762,2025-11-03,Gadget X,7,64.05
87,6877,2018-04-03,Gadget X,8,57.81
88,869,2018-01-14,Gadget X,10,140.63
89,5669,2016-02-26,Gadget Y,3,141.36
90,110,2025-11-01,Gadget Y,6,156.29
91,7948,2025-11-02,Gadget X,5,107.94
92,3701,2024-10-27,Widget C,6,53.54
93,3249,2024-03-30,Thingamajig,4,74.02
94,9369,2019-04-09,Thingamajig,4,117.20
95,9684,2018-03-16,Widget A,6,70.08
96,1377,2022-10-10,Widget A,2,117.29
97,1279,2024-12-20,Gadget X,5,153.88
98,6272,2020-07-20,Gadget X,7,105.03
99,3540,2022-09-24,Gadget Y,8,152.12
100,9563,2025-09-22,Gadget Y,4,195.12
101,4208,2020-06-01,Widget A,1,171.91
102,4356,2025-08-19,Gadget Z,3,138.72
